Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,56.0%,6.8%,"20,000"
죽음의 기사,부정 죽음의 기사,40.4%,4.5%,"13,000"
죽음의 기사,혈기 죽음의 기사,44.3%,2.9%,"8,800"
죽음의 기사,냉기 죽음의 기사,49.5%,1.1%,"3,400"
죽음의 기사,Rainbow Death Knight,49.9%,0.7%,"2,000"
죽음의 기사,Highlander Blood Death Knight,59.5%,0.4%,"1,200"
죽음의 기사,기타,46.4%,1.5%,"4,700"
악마사냥꾼,어그로 악마사냥꾼,58.2%,2.5%,"7,700"
악마사냥꾼,빅 악마사냥꾼,40.2%,0.3%,940
악마사냥꾼,유물 악마사냥꾼,34.0%,0.2%,520
악마사냥꾼,하이랜더 악마사냥꾼,42.0%,0.1%,380
악마사냥꾼,기타,20.8%,0.4%,"1,300"
드루이드,용 드루이드,60.9%,5.4%,"16,000"
드루이드,하이랜더 드루이드,57.2%,2.5%,"7,500"
드루이드,나무정령 드루이드,57.8%,0.9%,"2,800"
드루이드,기타,34.6%,1.1%,"3,200"
사냥꾼,사냥개 사냥꾼,59.5%,3.0%,"9,100"
사냥꾼,비전 사냥꾼,59.2%,1.3%,"3,800"
사냥꾼,하이랜더 사냥꾼,59.5%,1.0%,"2,900"
사냥꾼,기타,45.7%,1.5%,"4,600"
마법사,Rainbow Mage,57.2%,2.9%,"8,700"
마법사,Mining Mage,52.7%,2.5%,"7,600"
마법사,비밀 마법사,62.2%,1.8%,"5,300"
마법사,Spooky Mage,49.9%,1.0%,"2,900"
마법사,정령 마법사,48.0%,0.7%,"2,000"
마법사,Lightshow Mage,39.7%,0.2%,630
마법사,기계 마법사,53.0%,0.2%,500
마법사,하이랜더 마법사,36.8%,0.1%,400
마법사,기타,27.7%,2.0%,"6,100"
성기사,어그로 성기사,67.8%,6.0%,"18,000"
성기사,Showdown Paladin,66.1%,3.8%,"11,000"
성기사,하이랜더 성기사,61.4%,1.5%,"4,600"
성기사,신병 성기사,53.3%,0.7%,"2,100"
성기사,Earthen Paladin,52.6%,0.2%,530
성기사,기타,45.0%,2.6%,"7,900"
사제,언데드 사제,55.8%,2.1%,"6,500"
사제,컨트롤 사제,46.2%,2.1%,"6,200"
사제,하이랜더 사제,47.3%,0.6%,"1,700"
사제,Automaton Priest,47.7%,0.5%,"1,300"
사제,Ogre Priest,48.4%,0.2%,510
사제,기타,34.4%,0.8%,"2,300"
도적,Mining Rogue,45.2%,1.2%,"3,500"
도적,Mech Rogue,57.1%,1.0%,"2,900"
도적,Wishing Rogue,43.5%,1.0%,"2,900"
도적,Ogre Rogue,52.0%,0.7%,"2,000"
도적,미라클 도적,49.5%,0.3%,870
도적,Big Rogue,53.8%,0.3%,810
도적,비밀 도적,45.1%,0.2%,720
도적,기타,36.5%,1.5%,"4,500"
주술사,하이랜더 주술사,61.4%,2.6%,"7,800"
주술사,토템 주술사,60.6%,0.9%,"2,600"
주술사,정령 주술사,52.7%,0.7%,"2,100"
주술사,자연 주술사,44.6%,0.3%,"1,000"
주술사,기타,35.8%,1.1%,"3,300"
흑마법사,Mining Warlock,57.6%,2.8%,"8,400"
흑마법사,타디우스 흑마법사,53.3%,1.1%,"3,300"
흑마법사,저주 흑마법사,50.6%,0.9%,"2,600"
흑마법사,Sludge Warlock,44.1%,0.5%,"1,500"
흑마법사,하이랜더 흑마법사,48.5%,0.4%,"1,100"
흑마법사,기타,39.8%,1.6%,"4,900"
전사,컨트롤 전사,54.8%,5.8%,"17,000"
전사,격노 전사,60.0%,1.4%,"4,200"
전사,도발 전사,43.4%,0.6%,"1,700"
전사,하이랜더 전사,47.4%,0.4%,"1,300"
전사,Rock 'n' Roll Warrior,49.8%,0.4%,"1,200"
전사,기타,38.2%,1.9%,"5,700"
