Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,57.4%,6.4%,"11,000"
죽음의 기사,부정 죽음의 기사,39.2%,4.4%,"8,200"
죽음의 기사,혈기 죽음의 기사,44.6%,2.7%,"4,900"
죽음의 기사,냉기 죽음의 기사,49.8%,1.1%,"1,900"
죽음의 기사,Highlander Blood Death Knight,58.7%,0.5%,870
죽음의 기사,Rainbow Death Knight,47.9%,0.5%,860
죽음의 기사,기타,46.8%,1.3%,"2,300"
악마사냥꾼,어그로 악마사냥꾼,58.5%,2.7%,"4,900"
악마사냥꾼,빅 악마사냥꾼,33.5%,0.3%,550
악마사냥꾼,하이랜더 악마사냥꾼,46.8%,0.2%,290
악마사냥꾼,유물 악마사냥꾼,28.1%,0.2%,270
악마사냥꾼,기타,20.2%,0.5%,820
드루이드,용 드루이드,62.0%,5.6%,"10,000"
드루이드,하이랜더 드루이드,59.4%,2.6%,"4,700"
드루이드,나무정령 드루이드,61.4%,1.1%,"1,900"
드루이드,기타,38.0%,1.1%,"2,000"
사냥꾼,사냥개 사냥꾼,61.8%,3.4%,"6,100"
사냥꾼,비전 사냥꾼,57.3%,1.3%,"2,300"
사냥꾼,하이랜더 사냥꾼,62.0%,0.9%,"1,600"
사냥꾼,기타,43.9%,1.7%,"3,100"
마법사,Rainbow Mage,57.6%,3.3%,"6,000"
마법사,Mining Mage,53.0%,2.4%,"4,400"
마법사,비밀 마법사,60.5%,1.6%,"2,900"
마법사,Spooky Mage,48.3%,0.9%,"1,700"
마법사,정령 마법사,49.6%,0.8%,"1,400"
마법사,기계 마법사,55.4%,0.2%,390
마법사,하이랜더 마법사,34.8%,0.2%,280
마법사,Lightshow Mage,45.1%,0.1%,250
마법사,기타,25.6%,1.9%,"3,500"
성기사,어그로 성기사,67.4%,6.3%,"11,000"
성기사,Showdown Paladin,66.5%,3.6%,"6,600"
성기사,하이랜더 성기사,62.1%,1.6%,"2,800"
성기사,신병 성기사,51.6%,0.8%,"1,400"
성기사,Earthen Paladin,53.9%,0.2%,290
성기사,기타,45.7%,2.6%,"4,700"
사제,언데드 사제,57.8%,2.3%,"4,200"
사제,컨트롤 사제,47.5%,2.2%,"3,900"
사제,하이랜더 사제,48.5%,0.7%,"1,200"
사제,Automaton Priest,47.8%,0.4%,790
사제,Ogre Priest,52.0%,0.2%,270
사제,기타,35.2%,0.8%,"1,400"
도적,Mining Rogue,42.5%,1.2%,"2,100"
도적,Mech Rogue,56.8%,1.0%,"1,900"
도적,Wishing Rogue,44.4%,0.8%,"1,400"
도적,Ogre Rogue,52.9%,0.7%,"1,200"
도적,미라클 도적,47.9%,0.3%,590
도적,Big Rogue,54.9%,0.3%,530
도적,비밀 도적,43.0%,0.2%,320
도적,기타,32.5%,1.4%,"2,500"
주술사,하이랜더 주술사,63.2%,2.3%,"4,200"
주술사,토템 주술사,58.7%,0.8%,"1,400"
주술사,정령 주술사,51.4%,0.8%,"1,400"
주술사,자연 주술사,44.1%,0.4%,650
주술사,기타,35.0%,1.1%,"2,000"
흑마법사,Mining Warlock,58.6%,2.6%,"4,700"
흑마법사,타디우스 흑마법사,53.2%,1.1%,"2,100"
흑마법사,저주 흑마법사,50.9%,0.9%,"1,600"
흑마법사,Sludge Warlock,47.9%,0.5%,970
흑마법사,하이랜더 흑마법사,51.4%,0.3%,550
흑마법사,기타,36.7%,1.6%,"3,000"
전사,컨트롤 전사,54.5%,5.6%,"10,000"
전사,격노 전사,60.4%,1.5%,"2,600"
전사,도발 전사,47.1%,0.8%,"1,300"
전사,Rock 'n' Roll Warrior,49.0%,0.4%,770
전사,하이랜더 전사,45.7%,0.4%,730
전사,기타,33.7%,1.8%,"3,300"
