Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,56.5%,6.4%,"13,000"
죽음의 기사,부정 죽음의 기사,40.1%,4.7%,"9,600"
죽음의 기사,혈기 죽음의 기사,44.1%,2.8%,"5,700"
죽음의 기사,냉기 죽음의 기사,48.5%,1.0%,"2,100"
죽음의 기사,Rainbow Death Knight,50.6%,0.7%,"1,400"
죽음의 기사,Highlander Blood Death Knight,60.7%,0.4%,870
죽음의 기사,기타,46.5%,1.5%,"3,000"
악마사냥꾼,어그로 악마사냥꾼,56.8%,2.5%,"5,200"
악마사냥꾼,빅 악마사냥꾼,39.7%,0.3%,630
악마사냥꾼,유물 악마사냥꾼,31.7%,0.2%,370
악마사냥꾼,하이랜더 악마사냥꾼,42.4%,0.1%,260
악마사냥꾼,기타,21.2%,0.4%,870
드루이드,용 드루이드,61.3%,5.5%,"11,000"
드루이드,하이랜더 드루이드,58.0%,2.5%,"5,000"
드루이드,나무정령 드루이드,57.2%,1.0%,"1,900"
드루이드,기타,33.7%,1.1%,"2,100"
사냥꾼,사냥개 사냥꾼,59.7%,3.1%,"6,300"
사냥꾼,비전 사냥꾼,58.4%,1.2%,"2,500"
사냥꾼,하이랜더 사냥꾼,60.4%,1.0%,"2,100"
사냥꾼,기타,45.3%,1.6%,"3,200"
마법사,Rainbow Mage,56.8%,2.9%,"6,000"
마법사,Mining Mage,53.0%,2.4%,"5,000"
마법사,비밀 마법사,62.1%,1.8%,"3,600"
마법사,Spooky Mage,50.1%,1.0%,"1,900"
마법사,정령 마법사,48.2%,0.7%,"1,400"
마법사,Lightshow Mage,40.2%,0.2%,440
마법사,기계 마법사,49.4%,0.2%,340
마법사,하이랜더 마법사,35.4%,0.1%,260
마법사,기타,27.5%,2.0%,"4,000"
성기사,어그로 성기사,68.2%,6.2%,"12,000"
성기사,Showdown Paladin,66.5%,3.8%,"7,800"
성기사,하이랜더 성기사,60.7%,1.5%,"3,000"
성기사,신병 성기사,52.9%,0.7%,"1,400"
성기사,Earthen Paladin,53.0%,0.2%,380
성기사,기타,44.3%,2.5%,"5,200"
사제,언데드 사제,55.6%,2.1%,"4,300"
사제,컨트롤 사제,46.0%,2.0%,"4,100"
사제,하이랜더 사제,48.3%,0.6%,"1,200"
사제,Automaton Priest,46.8%,0.4%,880
사제,Ogre Priest,45.6%,0.2%,350
사제,기타,34.0%,0.8%,"1,600"
도적,Mining Rogue,44.0%,1.1%,"2,200"
도적,Mech Rogue,56.3%,1.0%,"2,000"
도적,Wishing Rogue,42.4%,0.9%,"1,900"
도적,Ogre Rogue,51.9%,0.7%,"1,400"
도적,미라클 도적,49.6%,0.3%,640
도적,Big Rogue,53.3%,0.3%,560
도적,비밀 도적,45.9%,0.3%,510
도적,기타,37.1%,1.5%,"3,100"
주술사,하이랜더 주술사,62.4%,2.7%,"5,400"
주술사,토템 주술사,61.5%,0.8%,"1,700"
주술사,정령 주술사,54.0%,0.8%,"1,500"
주술사,자연 주술사,42.4%,0.3%,660
주술사,기타,36.5%,1.2%,"2,300"
흑마법사,Mining Warlock,57.1%,2.7%,"5,500"
흑마법사,타디우스 흑마법사,53.9%,1.1%,"2,300"
흑마법사,저주 흑마법사,50.3%,0.9%,"1,800"
흑마법사,Sludge Warlock,45.0%,0.5%,"1,000"
흑마법사,하이랜더 흑마법사,47.7%,0.4%,760
흑마법사,기타,38.4%,1.6%,"3,300"
전사,컨트롤 전사,55.2%,5.6%,"11,000"
전사,격노 전사,60.0%,1.4%,"2,900"
전사,도발 전사,43.7%,0.6%,"1,100"
전사,Rock 'n' Roll Warrior,50.1%,0.5%,970
전사,하이랜더 전사,48.1%,0.4%,900
전사,기타,35.5%,1.8%,"3,700"
