Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,56.8%,6.8%,"19,000"
죽음의 기사,부정 죽음의 기사,40.7%,3.8%,"10,000"
죽음의 기사,혈기 죽음의 기사,48.0%,3.3%,"9,100"
죽음의 기사,냉기 죽음의 기사,45.7%,1.2%,"3,200"
죽음의 기사,Rainbow Death Knight,51.2%,0.6%,"1,600"
죽음의 기사,Highlander Blood Death Knight,58.0%,0.3%,890
죽음의 기사,기타,44.4%,1.5%,"4,200"
악마사냥꾼,어그로 악마사냥꾼,55.9%,1.9%,"5,400"
악마사냥꾼,빅 악마사냥꾼,39.5%,0.4%,"1,000"
악마사냥꾼,유물 악마사냥꾼,36.0%,0.2%,430
악마사냥꾼,하이랜더 악마사냥꾼,42.1%,0.2%,420
악마사냥꾼,기타,22.8%,0.4%,"1,100"
드루이드,용 드루이드,60.5%,5.5%,"15,000"
드루이드,하이랜더 드루이드,58.7%,2.6%,"7,100"
드루이드,나무정령 드루이드,61.8%,1.1%,"3,000"
드루이드,기타,36.6%,1.2%,"3,200"
사냥꾼,사냥개 사냥꾼,60.2%,2.7%,"7,400"
사냥꾼,비전 사냥꾼,57.5%,1.3%,"3,700"
사냥꾼,하이랜더 사냥꾼,60.2%,0.9%,"2,500"
사냥꾼,기타,44.9%,1.6%,"4,300"
마법사,Rainbow Mage,58.1%,3.1%,"8,600"
마법사,Mining Mage,54.1%,3.0%,"8,400"
마법사,비밀 마법사,60.5%,2.1%,"5,800"
마법사,Spooky Mage,51.0%,1.0%,"2,700"
마법사,정령 마법사,48.4%,0.7%,"1,800"
마법사,Lightshow Mage,39.2%,0.2%,630
마법사,하이랜더 마법사,43.7%,0.2%,500
마법사,기계 마법사,51.5%,0.2%,460
마법사,기타,26.1%,2.0%,"5,600"
성기사,어그로 성기사,65.4%,5.6%,"15,000"
성기사,Showdown Paladin,64.6%,3.1%,"8,700"
성기사,하이랜더 성기사,62.7%,1.5%,"4,000"
성기사,신병 성기사,54.5%,0.8%,"2,200"
성기사,Earthen Paladin,55.9%,0.4%,990
성기사,기타,45.6%,2.5%,"6,900"
사제,언데드 사제,56.4%,2.5%,"6,900"
사제,컨트롤 사제,47.4%,2.1%,"5,700"
사제,Automaton Priest,51.4%,0.5%,"1,500"
사제,하이랜더 사제,48.0%,0.5%,"1,400"
사제,Ogre Priest,46.6%,0.10%,270
사제,기타,33.7%,0.8%,"2,100"
도적,Mining Rogue,42.4%,1.2%,"3,300"
도적,Wishing Rogue,48.3%,1.0%,"2,700"
도적,Mech Rogue,58.4%,1.0%,"2,600"
도적,Ogre Rogue,51.9%,0.6%,"1,700"
도적,Big Rogue,52.4%,0.3%,810
도적,미라클 도적,47.9%,0.2%,660
도적,비밀 도적,50.4%,0.2%,570
도적,기타,35.6%,1.4%,"4,000"
주술사,하이랜더 주술사,62.0%,2.5%,"7,100"
주술사,토템 주술사,58.2%,0.8%,"2,300"
주술사,정령 주술사,52.3%,0.7%,"1,800"
주술사,자연 주술사,47.5%,0.5%,"1,200"
주술사,기타,37.0%,1.1%,"3,000"
흑마법사,Mining Warlock,55.2%,2.8%,"7,700"
흑마법사,타디우스 흑마법사,53.3%,1.1%,"3,000"
흑마법사,저주 흑마법사,48.9%,0.9%,"2,500"
흑마법사,Sludge Warlock,44.1%,0.7%,"2,000"
흑마법사,하이랜더 흑마법사,49.6%,0.4%,"1,100"
흑마법사,기타,39.9%,1.7%,"4,800"
전사,컨트롤 전사,56.2%,5.9%,"16,000"
전사,격노 전사,59.4%,1.4%,"3,900"
전사,도발 전사,45.3%,0.5%,"1,400"
전사,하이랜더 전사,45.3%,0.4%,"1,000"
전사,Rock 'n' Roll Warrior,49.7%,0.3%,950
전사,기타,36.8%,2.0%,"5,600"
